l.0,l.1,0,1,2,3,4,5,6
0,0,0.000060,0.000037,0.000041,0.000031,0.000025,0.000018,0.000012
0,1,0.000062,0.000036,0.000039,0.000031,0.000023,0.000016,0.000010
0,2,0.000044,0.000035,0.000032,0.000026,0.000024,0.000020,0.000014
1,0,0.000062,0.000036,0.000039,0.000031,0.000023,0.000016,0.000010
1,1,0.000064,0.000043,0.000045,0.000041,0.000022,0.000023,0.000008
1,2,0.000024,0.000019,0.000018,0.000015,0.000013,0.000014,0.000007
2,0,0.000044,0.000035,0.000032,0.000026,0.000024,0.000020,0.000014
2,1,0.000024,0.000019,0.000018,0.000015,0.000013,0.000014,0.000007
2,2,0.000037,0.000034,0.000032,0.000020,0.000033,0.000030,0.000029
