l.0,l.1,0,1,2,3,4,5,6,7
0,0,0.268192,0.477602,0.644936,0.782555,0.893821,0.988379,1.049422,1.049422
0,1,0.155852,0.278018,0.379166,0.450277,0.516072,0.573173,0.613426,0.613426
0,2,-0.110584,-0.205321,-0.283793,-0.350685,-0.400684,-0.427013,-0.454104,-0.454104
1,0,0.155852,0.278018,0.379166,0.450277,0.516072,0.573173,0.613426,0.613426
1,1,0.111598,0.286595,0.503743,0.686163,0.890634,1.061313,1.201187,1.201187
1,2,-0.061479,-0.094099,-0.090834,-0.051392,0.030406,0.149559,0.275371,0.275371
2,0,-0.110584,-0.205321,-0.283793,-0.350685,-0.400684,-0.427013,-0.454104,-0.454104
2,1,-0.061479,-0.094099,-0.090834,-0.051392,0.030406,0.149559,0.275371,0.275371
2,2,0.046209,0.094470,0.148829,0.222686,0.332841,0.504337,0.774447,0.774447
