l.0,l.1,0,1,2,3,4,5,6,7
0,0,0.779036,0.568706,0.400808,0.263637,0.153027,0.059845,0.000000,1.049422
0,1,0.453735,0.329370,0.230917,0.158767,0.095954,0.039100,-0.000000,0.613426
0,2,-0.344465,-0.250959,-0.172048,-0.104994,-0.053186,-0.026911,-0.000000,-0.454104
1,0,0.453735,0.329370,0.230917,0.158767,0.095954,0.039100,0.000000,0.613426
1,1,0.693921,0.404054,0.221087,0.125884,0.067089,0.026321,-0.000000,1.201187
1,2,0.173745,0.102201,0.043850,0.004511,-0.011495,-0.015655,-0.000000,0.275371
2,0,-0.344465,-0.250959,-0.172048,-0.104994,-0.053186,-0.026911,-0.000000,-0.454104
2,1,0.173745,0.102201,0.043850,0.004511,-0.011495,-0.015655,0.000000,0.275371
2,2,0.642437,0.506109,0.369362,0.226561,0.106192,0.023394,0.000000,0.774447
