l.0,l.1,0,1,2,3,4,5,6,7
0,0,0.005783,0.006700,0.006769,0.006157,0.004984,0.003204,0.000000,0.000000
0,1,0.005686,0.007914,0.009771,0.010916,0.011971,0.012251,0.012525,0.012525
0,2,0.005962,0.008075,0.009592,0.010671,0.011906,0.012623,0.013277,0.013277
1,0,0.005572,0.007626,0.009323,0.010347,0.011328,0.011499,0.011670,0.011670
1,1,0.006708,0.010752,0.012851,0.011878,0.009750,0.007220,0.000000,0.000000
1,2,0.004316,0.006820,0.009807,0.012143,0.014600,0.016044,0.017227,0.017227
2,0,0.006059,0.008310,0.010019,0.011189,0.012571,0.013336,0.014025,0.014025
2,1,0.004443,0.007029,0.009940,0.012154,0.014616,0.016202,0.017773,0.017773
2,2,0.005804,0.008155,0.009119,0.011507,0.015087,0.014904,0.000000,0.000000
