l.0,l.1,0,1,2,3,4,5,6
0,0,0.000088,0.000139,0.000227,0.000288,0.000340,0.000381,0.000404
0,1,0.000104,0.000155,0.000266,0.000348,0.000391,0.000449,0.000485
0,2,0.000065,0.000114,0.000181,0.000224,0.000299,0.000355,0.000426
1,0,0.000104,0.000155,0.000266,0.000348,0.000391,0.000449,0.000485
1,1,0.000223,0.000357,0.000879,0.001257,0.001295,0.001537,0.001715
1,2,0.000056,0.000106,0.000206,0.000284,0.000394,0.000506,0.000654
2,0,0.000065,0.000114,0.000181,0.000224,0.000299,0.000355,0.000426
2,1,0.000056,0.000106,0.000206,0.000284,0.000394,0.000506,0.000654
2,2,0.000066,0.000119,0.000173,0.000287,0.000585,0.000773,0.001361
