,Input,Input,Input,Input,Input,Output
,Flue gas (kg/s),CO2 in flue gas (wt%),Solvent rate (kg/s),Solvent concentration (wt%),Lean loading (mol CO2/mol MEA),Rich temperature (K)
0,400.0,6.93,885.2,30,0.28,324.542812
1,444.44444400000003,6.93,885.2,30,0.28,323.438815
2,488.88888899999995,6.93,885.2,30,0.28,322.131817
3,488.88888899999995,6.93,885.2,30,0.28,322.131545
4,533.333333,6.93,885.2,30,0.28,320.524642
5,577.777778,6.93,885.2,30,0.28,318.560608
6,622.222222,6.93,885.2,30,0.28,316.79181800000003
7,666.666667,6.93,885.2,30,0.28,315.93115
8,711.111111,6.93,885.2,30,0.28,315.628667
9,755.5555559999999,6.93,885.2,30,0.28,315.590405
10,800.0,6.93,885.2,30,0.28,315.712806
11,660.54,3.7417800000000003,885.2,30,0.28,319.76099999999997
12,660.54,4.35553,885.2,30,0.28,319.9806
13,660.54,4.96652,885.2,30,0.28,319.837
14,660.54,5.5747599999999995,885.2,30,0.28,319.0964
15,660.54,6.18026,885.2,30,0.28,317.5618
16,660.54,6.78305,885.2,30,0.28,316.1983
17,660.54,7.383139999999999,885.2,30,0.28,315.6292
18,660.54,7.9805600000000005,885.2,30,0.28,315.3756
19,660.54,8.57532,885.2,30,0.28,315.2385
20,660.54,9.16743,885.2,30,0.28,315.1546
21,660.54,6.93,600.0,30,0.28,314.487914
22,660.54,6.93,644.4444440000001,30,0.28,314.550253
23,660.54,6.93,688.888889,30,0.28,314.64265
24,660.54,6.93,733.333333,30,0.28,314.779199
25,660.54,6.93,777.777778,30,0.28,314.981246
26,660.54,6.93,822.222222,30,0.28,315.283344
27,660.54,6.93,866.666667,30,0.28,315.744972
28,660.54,6.93,885.200157,30,0.28,316.00557000000003
29,660.54,6.93,911.1111109999999,30,0.28,316.461826
30,660.54,6.93,955.555556,30,0.28,317.516635
31,660.54,6.93,1000.0,30,0.28,318.78339
32,660.54,6.93,885.2,12,0.28,313.7778
33,660.54,6.93,885.2,15,0.28,314.0431
34,660.54,6.93,885.2,18,0.28,314.3045
35,660.54,6.93,885.2,21,0.28,314.5782
36,660.54,6.93,885.2,24,0.28,314.89099999999996
37,660.54,6.93,885.2,27,0.28,315.3033
38,660.54,6.93,885.2,30,0.28,316.0056
39,660.54,6.93,885.2,33,0.28,317.6323
40,660.54,6.93,885.2,36,0.28,319.9602
41,660.54,6.93,885.2,39,0.28,321.6946
42,660.54,6.93,885.2,30,0.23,320.5134
43,660.54,6.93,885.2,30,0.24,319.5406
44,660.54,6.93,885.2,30,0.25,318.4128
45,660.54,6.93,885.2,30,0.26,317.313
46,660.54,6.93,885.2,30,0.27,316.5042
47,660.54,6.93,885.2,30,0.28,316.0056
48,660.54,6.93,885.2,30,0.29,315.69599999999997
49,660.54,6.93,885.2,30,0.3,315.4885
50,660.54,6.93,885.2,30,0.31,315.339
51,660.54,6.93,885.2,30,0.32,315.2242
