l.0,l.1,0,1,2,3,4,5,6,7
0,0,0.247858,0.199197,0.165065,0.134969,0.105916,0.082742,0.059265,1.000000
0,1,0.125764,0.102656,0.085033,0.058374,0.057781,0.043436,0.033063,0.506838
0,2,-0.120713,-0.103852,-0.086750,-0.074862,-0.059219,-0.041940,-0.033672,-0.525935
1,0,0.125764,0.102656,0.085033,0.058374,0.057781,0.043436,0.033063,0.506838
1,1,0.080851,0.064203,0.054940,0.029573,0.034284,0.026049,0.018922,1.000000
1,2,-0.057958,-0.051543,-0.038863,-0.028290,-0.027777,-0.015119,-0.016171,0.308611
2,0,-0.120713,-0.103852,-0.086750,-0.074862,-0.059219,-0.041940,-0.033672,-0.525935
2,1,-0.057958,-0.051543,-0.038863,-0.028290,-0.027777,-0.015119,-0.016171,0.308611
2,2,0.059541,0.054510,0.048776,0.046046,0.040804,0.037686,0.034344,1.000000
