,0
0,-59.45836121349862
1,-62.40037092753047
2,-61.99080422709831
3,-65.51652409545233
4,-65.47325394973421
5,-63.55211382617652
6,-66.38229285004402
7,-69.00616289212059
8,-67.95087269982247
