,Split,Fold,0
0,0,0,-76.4831084421118
1,1,0,-171.6346110211041
2,2,0,-6.891430482528275
3,3,0,-68.35587093807689
4,4,0,-0.4308348807940696
5,5,0,-106.41120888151394
6,6,0,-24.021135207494282
7,7,0,-27.319236372973553
