,0
0,-163.3337608861955
1,-171.6080575831777
2,-171.60829127901636
3,-171.60926222729458
4,-171.61022141992126
5,-171.61348784841422
6,-171.61812602927807
7,-171.62103208035467
8,-171.62381959341744
