model,N,fold,Unnamed: 0,0,1,2
gpr.v.a,240,0,0,0.001621,0.002067,0.004529
gpr.v.a,240,1,0,0.001812,0.001736,0.002967
gpr.v.a,240,2,0,0.003069,0.003352,0.003676
gpr.v.a,240,3,0,0.001850,0.001613,0.004437
gpr.v.a,240,4,0,0.001858,0.002439,0.004330
gpr.v.a,300,5,0,0.001947,0.001182,0.003384
