,0
0,-80.9414306394235
1,-119.81192191359023
2,-135.04702777567377
3,-136.25428649819503
4,-136.22898228124586
5,-136.22606459958047
6,-136.22573949423884
7,-136.22571097814802
8,-136.2257162165341
