l.0,l.1,0,1,2,3,4,5,6
0,0,0.000209,0.000139,0.000097,0.000060,0.000037,0.000015,-0.000000
0,1,0.000210,0.000135,0.000090,0.000051,0.000030,0.000012,0.000000
0,2,0.000202,0.000144,0.000104,0.000065,0.000039,0.000016,-0.000000
1,0,0.000210,0.000135,0.000090,0.000051,0.000030,0.000012,0.000000
1,1,0.000608,0.000239,0.000158,0.000075,0.000045,0.000015,0.000000
1,2,0.000264,0.000164,0.000105,0.000060,0.000030,0.000010,0.000000
2,0,0.000202,0.000144,0.000104,0.000065,0.000039,0.000016,-0.000000
2,1,0.000264,0.000164,0.000105,0.000060,0.000030,0.000010,0.000000
2,2,0.000549,0.000454,0.000318,0.000195,0.000086,0.000026,0.000000
