l.0,l.1,0,1,2,3,4,5,6,7
0,0,0.006020,0.006567,0.007154,0.006006,0.005076,0.003399,0.000000,0.000000
0,1,0.024484,0.022646,0.021170,0.019144,0.017621,0.015997,0.012961,0.012961
0,2,0.025325,0.023674,0.022604,0.020752,0.019376,0.017253,0.013349,0.013349
1,0,0.023728,0.022018,0.020618,0.018618,0.017108,0.015511,0.012485,0.012485
1,1,0.013065,0.011080,0.010427,0.007325,0.005429,0.003260,0.000000,0.000000
1,2,0.032778,0.029874,0.027530,0.025095,0.022951,0.020626,0.017731,0.017731
2,0,0.026428,0.024633,0.023414,0.021493,0.020037,0.017897,0.013977,0.013977
2,1,0.033297,0.030261,0.027859,0.025423,0.023287,0.020969,0.018060,0.018060
2,2,0.009078,0.012283,0.013641,0.012042,0.009410,0.005334,0.000000,0.000000
