,Index,Distance to Merge,Acceleration
0,1,210.77397990107644,1000000.0
1,2,159.35911089682517,13.88264328034711
2,3,121.82688517292101,29.095211682964376
3,4,113.38987113198122,5.792716306339827
4,5,110.74557339738126,-5.391017470970226
5,6,102.71025819181108,-16.183554441314797
6,7,78.4913885449261,22.78313087429393
7,8,77.05564977233504,-10.91822936813874
8,9,64.70168163160525,8.721663628875817
9,10,61.06937711975128,1.3282922556231327
10,11,58.76536486352044,1.0144584967105956
11,12,57.47581110400019,-0.23211491807297335
12,13,55.954142426406975,-2.3139644991241184
13,14,52.11850924968964,3.8024157690888316
14,15,52.08529184206113,-1.7475254755738518
15,16,50.304548958858774,1.6252845845225394
16,17,50.149090660178956,-0.5760866061065073
17,18,49.41754575539263,0.6955150844314986
18,19,49.381515935037804,-1.2653749953009736
19,20,48.080111119382,-1.57492543980743
20,21,45.20378086391877,2.3618197722091523
21,22,44.689270380664695,-0.8029535527455991
22,23,43.37180634466502,-0.6007059477209751
23,24,41.453636360944365,1.9009173501146535
24,25,41.43638372733837,-0.6926835831753309
25,26,40.72644751055704,0.13384755264242187
26,27,40.15035884641813,-0.12552020614121773
27,28,39.448749976138004,-0.3076851730355017
28,29,38.439455932822376,-1.0051380219243242
29,30,36.425023867582425,1.5561058514196873
30,31,35.96669765376216,0.2843799854289628
31,32,35.79275142537086,-0.1282841055796453
32,33,35.49052109139991,0.005078100179652267
33,34,35.19336885760862,-0.36457449753664406
34,35,34.53164212628068,-0.4249605956480309
35,36,33.44495479930471,0.8969869736416598
36,37,33.2552544459704,-0.7824259583034205
37,38,32.28312813433267,0.34162859861012507
38,39,31.652630421305066,0.14584766835880458
39,40,31.167980376636265,0.04675665877811497
40,41,30.73008699074558,-0.3975535520708746
41,42,29.89464005278402,0.5897811643312565
42,43,29.648974279153716,0.17689779265139904
43,44,29.58020629817481,-0.5389495864026266
44,45,28.97248873079328,-0.7775880498295358
45,46,27.587183113582213,1.1560998838117094
46,47,27.357977380182856,0.18500129247776442
47,48,27.313772939261263,-0.1175274503349577
48,49,27.152041048004712,-0.2722172706542345
49,50,26.718091886093926,0.4306857880187174
50,51,26.71482851220186,-0.1940369115503202
51,52,26.51752822675947,0.12361013062730919
52,53,26.44383807194439,-0.31847269273571044
53,54,26.051675224393602,0.1765487402728141
54,55,25.836061117115626,-0.2550042228289229
55,56,25.36544278700873,0.2759934979476384
56,57,25.17081795484947,0.02227467116190951
57,58,24.998467793852118,0.01291956654085169
58,59,24.83903719939562,0.11550793440695273
59,60,24.795114539346073,-0.34519010815525064
60,61,24.406001771141277,0.20462794614973845
61,62,24.22151694908622,0.01035213542520097
62,63,24.04738426245636,-0.3984148470965607
63,64,23.474836728729944,0.42244860022058717
64,65,23.324737795224113,0.10205084482232607
65,66,23.27668970654061,-0.12251002804773137
66,67,23.106131589809372,0.16614741343057915
67,68,23.101720886508716,-0.21590654915524254
68,69,22.881403634052816,0.06900990266298734
69,70,22.730096284259904,0.10008179102247539
70,71,22.678870725489467,-0.13048819052787763
71,72,22.497156976191153,-0.3353369505328416
72,73,21.980106276359997,0.48328996165729876
73,74,21.94634553818614,-0.19742986012055397
74,75,21.71515493989173,0.20030380310900142
75,76,21.68426814470632,-0.06930626053026145
76,77,21.584075088990648,0.05793521844910643
77,78,21.541817251724083,0.010833554311648896
78,79,21.510392968769168,-0.21178061790589808
79,80,21.267188067908354,-0.42797243874677804
80,81,20.59601072830076,0.5597413124792645
81,82,20.484574701172434,-0.050751839718603975
82,83,20.322386834325503,-0.03312724509055798
83,84,20.127071722388013,0.16690017233912968
84,85,20.098656782789654,-0.004073762716735985
85,86,20.066168080474558,-0.18161036826818844
86,87,19.852069009891274,0.09137308639753883
87,88,19.72934302570553,0.06027488203141118
88,89,19.666891923551194,-0.08246393479120684
89,90,19.521976886605653,0.058632836032735725
90,91,19.435694685692848,-0.21130599430917485
91,92,19.138106490470868,0.2851092186084969
92,93,19.125627513857385,-0.09673868607342229
93,94,19.01640985117048,0.032132584341891146
94,95,18.939324772825465,-0.06746041587175355
95,96,18.794779278608697,0.0806071964351247
96,97,18.730840980827054,-0.3910230226518614
97,98,18.27587966039355,0.4077028072391684
98,99,18.228621147199213,-0.009063953259218493
99,100,18.17229868074566,1000000.0
