,0
0,-79.81175289446327
1,-109.04087965626475
2,-119.78531117103157
3,-119.54099406313196
4,-119.51036843442392
5,-119.50302801513527
6,-119.50167144727044
7,-119.50143816133809
8,-119.50591879828576
