N,fold,l.0,l.1,0,1,2,3,4,5,6,7
240,0,0,0,0.251766,0.450413,0.620997,0.755952,0.861839,0.949775,1.008686,1.008686
240,0,0,1,0.147296,0.263186,0.364733,0.442966,0.511078,0.561785,0.598655,0.598655
240,0,0,2,-0.116137,-0.206580,-0.285900,-0.339036,-0.386560,-0.425240,-0.453112,-0.453112
240,0,1,0,0.147296,0.263186,0.364733,0.442966,0.511078,0.561785,0.598655,0.598655
240,0,1,1,0.106454,0.270159,0.479982,0.663154,0.855118,1.022002,1.162949,1.162949
240,0,1,2,-0.065436,-0.100742,-0.094571,-0.046417,0.033032,0.156644,0.296458,0.296458
240,0,2,0,-0.116137,-0.206580,-0.285900,-0.339036,-0.386560,-0.425240,-0.453112,-0.453112
240,0,2,1,-0.065436,-0.100742,-0.094571,-0.046417,0.033032,0.156644,0.296458,0.296458
240,0,2,2,0.053958,0.098900,0.156516,0.226930,0.340878,0.537258,0.846268,0.846268
240,1,0,0,0.268192,0.477602,0.644936,0.782555,0.893821,0.988379,1.049422,1.049422
240,1,0,1,0.155852,0.278018,0.379166,0.450277,0.516072,0.573173,0.613426,0.613426
240,1,0,2,-0.110584,-0.205321,-0.283793,-0.350685,-0.400684,-0.427013,-0.454104,-0.454104
240,1,1,0,0.155852,0.278018,0.379166,0.450277,0.516072,0.573173,0.613426,0.613426
240,1,1,1,0.111598,0.286595,0.503743,0.686163,0.890634,1.061313,1.201187,1.201187
240,1,1,2,-0.061479,-0.094099,-0.090834,-0.051392,0.030406,0.149559,0.275371,0.275371
240,1,2,0,-0.110584,-0.205321,-0.283793,-0.350685,-0.400684,-0.427013,-0.454104,-0.454104
240,1,2,1,-0.061479,-0.094099,-0.090834,-0.051392,0.030406,0.149559,0.275371,0.275371
240,1,2,2,0.046209,0.094470,0.148829,0.222686,0.332841,0.504337,0.774447,0.774447
240,2,0,0,0.288230,0.529990,0.734151,0.886202,1.020389,1.117769,1.193031,1.193031
240,2,0,1,0.174439,0.312664,0.440450,0.521828,0.604260,0.662180,0.707105,0.707105
240,2,0,2,-0.149142,-0.271419,-0.367081,-0.454916,-0.523107,-0.566999,-0.602734,-0.602734
240,2,1,0,0.174439,0.312664,0.440450,0.521828,0.604260,0.662180,0.707105,0.707105
240,2,1,1,0.136552,0.344584,0.615258,0.850017,1.091254,1.277586,1.428827,1.428827
240,2,1,2,-0.087502,-0.129175,-0.121364,-0.069212,0.037148,0.185405,0.345191,0.345191
240,2,2,0,-0.149142,-0.271419,-0.367081,-0.454916,-0.523107,-0.566999,-0.602734,-0.602734
240,2,2,1,-0.087502,-0.129175,-0.121364,-0.069212,0.037148,0.185405,0.345191,0.345191
240,2,2,2,0.078656,0.147196,0.218838,0.329607,0.493956,0.756209,1.149514,1.149514
240,3,0,0,0.261227,0.475445,0.639273,0.784339,0.899555,0.988155,1.052169,1.052169
240,3,0,1,0.139344,0.251348,0.336350,0.410839,0.465995,0.517406,0.547465,0.547465
240,3,0,2,-0.120028,-0.227802,-0.308193,-0.372221,-0.436163,-0.476129,-0.513784,-0.513784
240,3,1,0,0.139344,0.251348,0.336350,0.410839,0.465995,0.517406,0.547465,0.547465
240,3,1,1,0.090852,0.245880,0.429432,0.619398,0.792058,0.970835,1.106291,1.106291
240,3,1,2,-0.062042,-0.098323,-0.093055,-0.038344,0.038295,0.171532,0.317214,0.317214
240,3,2,0,-0.120028,-0.227802,-0.308193,-0.372221,-0.436163,-0.476129,-0.513784,-0.513784
240,3,2,1,-0.062042,-0.098323,-0.093055,-0.038344,0.038295,0.171532,0.317214,0.317214
240,3,2,2,0.055504,0.114764,0.172482,0.256159,0.383736,0.597820,0.932846,0.932846
240,4,0,0,0.265925,0.479909,0.657614,0.803190,0.917848,1.007764,1.072891,1.072891
240,4,0,1,0.141055,0.256655,0.350879,0.416444,0.481395,0.530517,0.568463,0.568463
240,4,0,2,-0.121286,-0.225634,-0.313601,-0.389072,-0.449351,-0.492010,-0.528434,-0.528434
240,4,1,0,0.141055,0.256655,0.350879,0.416444,0.481395,0.530517,0.568463,0.568463
240,4,1,1,0.094797,0.248553,0.458630,0.645395,0.860536,1.028724,1.172491,1.172491
240,4,1,2,-0.060877,-0.100563,-0.094179,-0.038072,0.051566,0.180943,0.324151,0.324151
240,4,2,0,-0.121286,-0.225634,-0.313601,-0.389072,-0.449351,-0.492010,-0.528434,-0.528434
240,4,2,1,-0.060877,-0.100563,-0.094179,-0.038072,0.051566,0.180943,0.324151,0.324151
240,4,2,2,0.056024,0.110327,0.173377,0.268260,0.398773,0.615540,0.940939,0.940939
300,5,0,0,0.266104,0.483280,0.664095,0.807869,0.924130,1.014852,1.077209,1.077209
300,5,0,1,0.151976,0.272449,0.372679,0.449160,0.515724,0.568162,0.605634,0.605634
300,5,0,2,-0.120351,-0.221528,-0.308628,-0.378044,-0.435157,-0.475213,-0.503460,-0.503460
300,5,1,0,0.151976,0.272449,0.372679,0.449160,0.515724,0.568162,0.605634,0.605634
300,5,1,1,0.108342,0.279912,0.489771,0.684459,0.883526,1.051828,1.192924,1.192924
300,5,1,2,-0.066649,-0.102133,-0.097917,-0.055242,0.028808,0.151115,0.295676,0.295676
300,5,2,0,-0.120351,-0.221528,-0.308628,-0.378044,-0.435157,-0.475213,-0.503460,-0.503460
300,5,2,1,-0.066649,-0.102133,-0.097917,-0.055242,0.028808,0.151115,0.295676,0.295676
300,5,2,2,0.054671,0.106506,0.168040,0.247415,0.371635,0.569828,0.889018,0.889018
