N,fold,Unnamed: 0,0,1,2
240,0,0,1.312238,2.229747,2.246944
240,1,0,1.521869,2.255924,1.859160
240,2,0,1.338025,2.434696,2.011932
240,3,0,1.432126,2.479024,2.426713
240,4,0,1.136043,2.121538,2.313563
300,5,0,1.343806,2.034285,1.752207
