,Input,Input,Input,Input,Input,Output,Output,Output,Output,Output,Output,Output,Output
,Flue gas (kg/s),CO2 in flue gas (wt%),Solvent rate (kg/s),Solvent concentration (wt%),Lean loading (mol CO2/mol MEA),Capture level (%),Total Electricity consumption (kWe),Reboiler duty (MWth),Reboiler temperature (K),Rich Loading (mol CO2/mol MEA),CO2 from absorber (kg/s),Rich temperature (K),MEA Make-up (kg/s)
36,660.54,6.93,885.2,24,0.28,73.66966928,6646.464043,227.47179100000002,393.8812,0.4965773,12.05282,314.89099999999996,0.0506858
37,660.54,6.93,885.2,27,0.28,82.16709176,6644.771479999999,231.406879,394.5476,0.4947515,8.163089,315.3033,0.074989601
38,660.54,6.93,885.2,30,0.28,89.99605290000001,6643.157002,234.461967,395.2215,0.4917327,4.579349,316.0056,0.106704204
39,660.54,6.93,885.2,33,0.28,95.60416942,6641.893051,234.289254,395.9014,0.4845170999999999,2.01221,317.6323,0.139410945
40,660.54,6.93,885.2,36,0.28,97.62038021,6641.182625,230.644917,396.5917,0.4714527,1.089281,319.9602,0.163635263
41,660.54,6.93,885.2,39,0.28,98.29048894,6640.477252000001,227.87357200000002,397.3171,0.4579643,0.7825359000000001,321.6946,0.188960509
42,660.54,6.93,885.2,30,0.23,98.57347661,6645.066895,241.270733,396.04699999999997,0.4619347,0.6529971,320.5134,0.13860096800000002
43,660.54,6.93,885.2,30,0.24,98.0882114,6644.520377000001,240.828933,395.9108,0.4707946,0.8751293,319.5406,0.13636256
44,660.54,6.93,885.2,30,0.25,97.24108715,6643.986260000001,240.536604,395.7636,0.47880209999999995,1.262904,318.4128,0.133268681
45,660.54,6.93,885.2,30,0.26,95.68886989,6643.55628,239.728323,395.6019,0.4851469,1.973438,317.313,0.127619324
46,660.54,6.93,885.2,30,0.27,93.20262957,6643.297364999999,237.670063,395.4218,0.48928879999999997,3.111525,316.5042,0.118289109
47,660.54,6.93,885.2,30,0.28,89.99605290000001,6643.157002,234.461967,395.2215,0.4917327,4.579349,316.0056,0.106704204
48,660.54,6.93,885.2,30,0.29,86.38569405,6643.066692,230.57938900000002,394.9996,0.4932264,6.232006,315.69599999999997,0.09471380199999999
49,660.54,6.93,885.2,30,0.3,82.55754802,6642.993763,226.33729,394.754,0.494209,7.984356,315.4885,0.083258401
50,660.54,6.93,885.2,30,0.31,78.60364455,6642.926064,221.89524,394.4819,0.4948973,9.794272,315.339,0.072689201
51,660.54,6.93,885.2,30,0.32,74.57082973,6642.8586,217.32502799999997,394.1796,0.4954022,11.640310000000001,315.2242,0.063106
