l.0,l.1,0,1,2,3,4,5,6,7
0,0,0.004415,0.005040,0.005117,0.004337,0.003501,0.002438,0.000000,0.000000
0,1,0.004294,0.006085,0.007818,0.008786,0.009860,0.010458,0.010679,0.010679
0,2,0.004881,0.006617,0.007880,0.008671,0.009510,0.010564,0.011158,0.011158
1,0,0.004228,0.005916,0.007572,0.008475,0.009538,0.010088,0.010259,0.010259
1,1,0.004756,0.008059,0.010142,0.009148,0.007390,0.005644,0.000000,0.000000
1,2,0.003303,0.005559,0.008122,0.009961,0.012144,0.013548,0.014234,0.014234
2,0,0.004928,0.006795,0.008230,0.009140,0.010172,0.011243,0.011861,0.011861
2,1,0.003380,0.005687,0.008197,0.009960,0.012162,0.013706,0.014688,0.014688
2,2,0.004755,0.006700,0.007739,0.009599,0.011861,0.011902,0.000000,0.000000
