l.0,l.1,0,1,2,3,4,5,6
0,0,0.000135,0.000089,0.000057,0.000034,0.000016,0.000007,0.000000
0,1,0.000144,0.000091,0.000057,0.000029,0.000015,0.000006,0.000000
0,2,0.000140,0.000096,0.000065,0.000039,0.000020,0.000009,0.000000
1,0,0.000144,0.000091,0.000057,0.000029,0.000015,0.000006,0.000000
1,1,0.000403,0.000175,0.000106,0.000045,0.000022,0.000008,-0.000000
1,2,0.000181,0.000111,0.000071,0.000038,0.000016,0.000005,-0.000000
2,0,0.000140,0.000096,0.000065,0.000039,0.000020,0.000009,0.000000
2,1,0.000181,0.000111,0.000071,0.000038,0.000016,0.000005,-0.000000
2,2,0.000368,0.000284,0.000193,0.000124,0.000050,0.000015,-0.000000
