,Split,Fold,0
0,0,0,-119.50591879828578
1,1,0,-171.62381959341744
2,2,0,-74.49479095547217
3,3,0,-142.6098716234581
4,4,0,-93.6033436647308
5,5,0,-136.2257162165341
6,6,0,-84.44912434002853
7,7,0,-67.95087269982247
