,Input,Input,Input,Input,Input,Output
,u0,u1,u2,u3,u4,Rich temperature (K)
32,2.6308474272159854,0.04141073994475593,1.9895704271419543,-1.3878114203982457,1.962299628500184,-1.2712455857845937
23,1.10139334324426,1.0439673243829992,0.4099649813908968,0.7242972162291722,-2.1372508020725114,-0.9423709247794514
44,-0.6278675519473823,-0.024268447160583795,-0.30790761617944107,-2.0527892026404113,-0.7439575887197477,0.4912959575568517
26,0.31761804095203466,0.15735306735356933,-0.08041825827933789,0.26117592938169965,-0.6418487804179931,-0.6987355867924828
9,0.6330921291424522,-1.3959829653564413,-0.6597131018349118,-0.09379125562663637,-0.40501091361756675,-0.5819701566220563
0,-1.9327653040283355,2.8496228868520848,0.6412967567175313,0.41595287822149224,1.3518583051208537,2.8223425187610887
7,-0.008372229150244277,-0.3345815023043098,-0.3344606371968011,0.03364477783539577,0.034206391067038364,-0.4523957837664082
11,-1.7302105091006683,-1.9989206349454,2.8045154410713478,0.5895695024513051,-0.6535011782976742,1.0039730899695545
17,0.18585482907463385,-0.01447499420993726,-0.7549973354660299,-0.035336577995189154,0.16652564667480727,-0.5672176648908762
37,0.3946536025395029,-0.21095187882140112,0.07155956295703805,-0.1959449809758142,0.38078280925140434,-0.6911469613256251
2,-1.2913009457356386,1.7882214237999547,0.31604429207942075,0.2885168447594601,0.9126410004362491,1.9055186032727307
51,0.7144580236729903,-0.5776323431266972,-0.3175559348139505,2.8360516529741124,1.142395490896842,-0.7212261492605286
27,0.05635960293574993,-0.13818502275597844,-0.24387934062133212,0.10680216478360242,-0.14338143238947768,-0.5231932938971948
34,1.7363698973453927,-0.0595343075617069,1.2223660814679875,-0.9110648446292731,1.3296929008006722,-1.07095850253153
8,0.31235994638786774,-0.8652822278599933,-0.4970868676863119,-0.03007323817879278,-0.18540225880466743,-0.567420347661671
50,0.522697227155794,-0.4985803579886807,-0.31617760358044916,2.137645816457751,0.8729164795230431,-0.6775713986293307
4,-0.9705687701975261,1.25752069824427,0.15341806158990995,0.2247988287452716,0.6930323505645434,1.2943616011325223
24,0.8401349111062894,0.7484292409230575,0.24650390272677639,0.5699234551044843,-1.638783465259509,-0.8904457284036724
42,-1.0113891449817733,0.13383552311544825,-0.30515095371243844,-3.4496008756731307,-1.2829156114673443,1.2900866298207183
40,-0.9470626922663866,-0.36236945008109556,-1.0792469555539115,0.5191748826776451,-0.5681272822978638,1.0797224482076664
16,-0.12990951413384194,-0.34150829620395645,-0.1683956201529843,0.06764689241562878,0.03138660593241001,-0.3508072242618355
19,0.813173955682779,0.635231819720025,-1.9203805829154268,-0.23993061181406505,0.43500214452058295,-0.7157883188247642
38,-0.05258516239579356,-0.2614244025746325,-0.3120426098799451,0.04242830690867204,0.06447944540164836,-0.4240848413927742
