l.0,l.1,0,1,2,3,4,5,6
0,0,0.000088,0.000064,0.000056,0.000044,0.000041,0.000024,0.000016
0,1,0.000104,0.000065,0.000063,0.000046,0.000037,0.000020,0.000015
0,2,0.000065,0.000053,0.000050,0.000042,0.000043,0.000026,0.000027
1,0,0.000104,0.000065,0.000063,0.000046,0.000037,0.000020,0.000015
1,1,0.000223,0.000100,0.000103,0.000061,0.000049,0.000026,0.000019
1,2,0.000056,0.000036,0.000033,0.000029,0.000025,0.000015,0.000014
2,0,0.000065,0.000053,0.000050,0.000042,0.000043,0.000026,0.000027
2,1,0.000056,0.000036,0.000033,0.000029,0.000025,0.000015,0.000014
2,2,0.000066,0.000049,0.000043,0.000053,0.000046,0.000030,0.000039
