,Input,Input,Input,Input,Input,Output
,Flue gas (kg/s),CO2 in flue gas (wt%),Solvent rate (kg/s),Solvent concentration (wt%),Lean loading (mol CO2/mol MEA),Rich Loading (mol CO2/mol MEA)
32,0.22884180509494734,0.11202722607382176,0.2485664890533867,-4.065196308557609,0.07469198148172243,0.966117169103876
23,0.22884180509494734,0.11202722607382176,-2.7296158771360908,0.20531294487664725,0.07469198148172243,0.6424326501959996
44,0.22884180509494734,0.11202722607382176,0.2485664890533867,0.20531294487664725,-2.255697840747489,-0.12495917716148545
26,0.22884180509494734,0.11202722607382176,-0.7068522182524657,0.20531294487664725,0.07469198148172243,0.5534208790765197
9,1.6839116377553105,0.11202722607382176,0.2485664890533867,0.20531294487664725,0.07469198148172243,0.5755388512277514
0,-3.761072164374758,0.11202722607382176,0.2485664890533867,0.20531294487664725,0.07469198148172243,-2.6705526964405086
7,0.32266568722279354,0.11202722607382176,0.2485664890533867,0.20531294487664725,0.07469198148172243,0.463971559594248
11,0.22884180509494734,-3.932860128380696,0.2485664890533867,0.20531294487664725,0.07469198148172243,-3.4106750229451523
17,0.22884180509494734,0.6869248980655658,0.2485664890533867,0.20531294487664725,0.07469198148172243,0.5940812938442029
37,0.22884180509494734,0.11202722607382176,0.2485664890533867,-0.5064385973623955,0.07469198148172243,0.5825260070937
2,-2.3998262138422417,0.11202722607382176,0.2485664890533867,0.20531294487664725,0.07469198148172243,-1.3321220633115125
51,0.22884180509494734,0.11202722607382176,0.2485664890533867,0.20531294487664725,3.1818784111206675,0.6113898270113678
27,0.22884180509494734,0.11202722607382176,-0.03259765517743962,0.20531294487664725,0.07469198148172243,0.4880507367093959
34,0.22884180509494734,0.11202722607382176,0.2485664890533867,-2.6416932240795234,0.07469198148172243,0.7919539354436055
8,1.0032886548320452,0.11202722607382176,0.2485664890533867,0.20531294487664725,0.07469198148172243,0.5363230469153621
50,0.22884180509494734,0.11202722607382176,0.2485664890533867,0.20531294487664725,2.4050818037109303,0.5889934190254583
4,-1.7192032462329898,0.11202722607382176,0.2485664890533867,0.20531294487664725,0.07469198148172243,-0.6874781214121944
24,0.22884180509494734,0.11202722607382176,-2.0553613292317903,0.20531294487664725,0.07469198148172243,0.6212001102091732
42,0.22884180509494734,0.11202722607382176,0.2485664890533867,0.20531294487664725,-3.8092910555669617,-0.8731651032092274
40,0.22884180509494734,0.11202722607382176,0.2485664890533867,1.628816029354733,0.07469198148172243,-0.4509646452772143
16,0.22884180509494734,-0.07440789971332258,0.2485664890533867,0.20531294487664725,0.07469198148172243,0.3844360107723097
19,0.22884180509494734,2.199440912090191,0.2485664890533867,0.20531294487664725,0.07469198148172243,0.8301418293534256
38,0.22884180509494734,0.11202722607382176,0.2485664890533867,0.20531294487664725,0.07469198148172243,0.44861775510744734
22,0.22884180509494734,0.11202722607382176,-3.4038704402111155,0.20531294487664725,0.07469198148172243,0.6614039913444685
46,0.22884180509494734,0.11202722607382176,0.2485664890533867,0.20531294487664725,-0.7021046259280149,0.3402109785640489
25,0.22884180509494734,0.11202722607382176,-1.3811067661567644,0.20531294487664725,0.07469198148172243,0.5937530882140026
39,0.22884180509494734,0.11202722607382176,0.2485664890533867,0.91706448711569,0.07469198148172243,0.1285474016451373
43,0.22884180509494734,0.11202722607382176,0.2485664890533867,0.20531294487664725,-3.032494448157227,-0.4801567151831877
20,0.22884180509494734,2.9506495022897585,0.2485664890533867,0.20531294487664725,0.07469198148172243,0.9171458194971376
48,0.22884180509494734,0.11202722607382176,0.2485664890533867,0.20531294487664725,0.8514885888914555,0.5148754588280862
1,-3.0804491967655068,0.11202722607382176,0.2485664890533867,0.20531294487664725,0.07469198148172243,-1.9970295867186652
49,0.22884180509494734,0.11202722607382176,0.2485664890533867,0.20531294487664725,1.6282851963011928,0.5584617343023449
3,-2.3998262138422417,0.11202722607382176,0.2485664890533867,0.20531294487664725,0.07469198148172243,-1.3321182041562427
14,0.22884180509494734,-1.6073626335503393,0.2485664890533867,0.20531294487664725,0.07469198148172243,-0.7848969070294701
12,0.22884180509494734,-3.1541969201339444,0.2485664890533867,0.20531294487664725,0.07469198148172243,-2.5134746528810354
30,0.22884180509494734,0.11202722607382176,1.315911455801887,0.20531294487664725,0.07469198148172243,0.1878249580806652
6,-0.35795729570047324,0.11202722607382176,0.2485664890533867,0.20531294487664725,0.07469198148172243,0.29177436593150385
41,0.22884180509494734,0.11202722607382176,0.2485664890533867,2.3405675715937755,0.07469198148172243,-1.0492845293673754
35,0.22884180509494734,0.11202722607382176,0.2485664890533867,-1.9299416818404809,0.07469198148172243,0.7284819208129141
47,0.22884180509494734,0.11202722607382176,0.2485664890533867,0.20531294487664725,0.07469198148172243,0.44861775510744734
10,2.364534605364562,0.11202722607382176,0.2485664890533867,0.20531294487664725,0.07469198148172243,0.6042106005441538
13,0.22884180509494734,-2.3790353175161303,0.2485664890533867,0.20531294487664725,0.07469198148172243,-1.6321278700899726
45,0.22884180509494734,0.11202722607382176,0.2485664890533867,0.20531294487664725,-1.4789012333377525,0.15648413713637604
36,0.22884180509494734,0.11202722607382176,0.2485664890533867,-1.218190139601438,0.07469198148172243,0.6635150379922357
29,0.22884180509494734,0.11202722607382176,0.641656892726859,0.20531294487664725,0.07469198148172243,0.3757615612502567
18,0.22884180509494734,1.444870273007767,0.2485664890533867,0.20531294487664725,0.07469198148172243,0.7272931235579682
31,0.22884180509494734,0.11202722607382176,1.9901660037061852,0.20531294487664725,0.07469198148172243,-0.0775914618219394
