,0
0,-68.66215265824856
1,-82.8744878518144
2,-90.41418332028351
3,-91.04732817920666
4,-92.68617377895981
5,-93.50804327930945
6,-93.63931842031866
7,-93.61534876921343
8,-93.60334366473079
