l.0,l.1,0,1,2,3,4,5,6
0,0,0.000042,0.000042,0.000037,0.000027,0.000023,0.000017,0.000011
0,1,0.000043,0.000038,0.000036,0.000026,0.000022,0.000016,0.000011
0,2,0.000033,0.000033,0.000029,0.000020,0.000021,0.000018,0.000012
1,0,0.000043,0.000038,0.000036,0.000026,0.000022,0.000016,0.000011
1,1,0.000070,0.000050,0.000060,0.000034,0.000032,0.000024,0.000014
1,2,0.000021,0.000019,0.000019,0.000011,0.000013,0.000011,0.000009
2,0,0.000033,0.000033,0.000029,0.000020,0.000021,0.000018,0.000012
2,1,0.000021,0.000019,0.000019,0.000011,0.000013,0.000011,0.000009
2,2,0.000026,0.000027,0.000023,0.000014,0.000020,0.000023,0.000029
