,0
0,-134.50555641623131
1,-137.84044968075875
2,-137.55742790021955
3,-140.29094519760588
4,-141.00964347541822
5,-141.52180874861884
6,-141.933335185319
7,-142.2905972501106
8,-142.60987162345808
