kind,model,N,fold,l.0,l.1,0,1,2,3,4,5,6,7
first_order,gpr.v.a,300,5,2,1,0.003380,0.003437,0.003292,0.003022,0.002851,0.002587,0.002185,0.014688
first_order,gpr.v.a,300,5,2,2,0.004755,0.004622,0.004678,0.004479,0.004418,0.004029,0.004341,0.000000
closed,gpr.v.a,240,0,0,0,0.005783,0.006700,0.006769,0.006157,0.004984,0.003204,0.000000,0.000000
closed,gpr.v.a,240,0,0,1,0.005686,0.007914,0.009771,0.010916,0.011971,0.012251,0.012525,0.012525
closed,gpr.v.a,240,0,0,2,0.005962,0.008075,0.009592,0.010671,0.011906,0.012623,0.013277,0.013277
closed,gpr.v.a,240,0,1,0,0.005572,0.007626,0.009323,0.010347,0.011328,0.011499,0.011670,0.011670
closed,gpr.v.a,240,0,1,1,0.006708,0.010752,0.012851,0.011878,0.009750,0.007220,0.000000,0.000000
closed,gpr.v.a,240,0,1,2,0.004316,0.006820,0.009807,0.012143,0.014600,0.016044,0.017227,0.017227
closed,gpr.v.a,240,0,2,0,0.006059,0.008310,0.010019,0.011189,0.012571,0.013336,0.014025,0.014025
closed,gpr.v.a,240,0,2,1,0.004443,0.007029,0.009940,0.012154,0.014616,0.016202,0.017773,0.017773
closed,gpr.v.a,240,0,2,2,0.005804,0.008155,0.009119,0.011507,0.015087,0.014904,0.000000,0.000000
closed,gpr.v.a,240,1,0,0,0.005764,0.006142,0.006186,0.005312,0.004054,0.002954,0.000000,0.000000
closed,gpr.v.a,240,1,0,1,0.005643,0.007257,0.008985,0.010115,0.011177,0.011881,0.012163,0.012163
closed,gpr.v.a,240,1,0,2,0.006479,0.008197,0.009106,0.010439,0.011080,0.012624,0.013192,0.013192
closed,gpr.v.a,240,1,1,0,0.005537,0.006945,0.008529,0.009530,0.010537,0.011170,0.011370,0.011370
closed,gpr.v.a,240,1,1,1,0.006712,0.009801,0.011336,0.010216,0.008761,0.006440,0.000000,0.000000
closed,gpr.v.a,240,1,1,2,0.004395,0.006893,0.009624,0.011805,0.014254,0.015720,0.016644,0.016644
closed,gpr.v.a,240,1,2,0,0.006547,0.008471,0.009697,0.011220,0.012183,0.013714,0.014369,0.014369
closed,gpr.v.a,240,1,2,1,0.004514,0.007100,0.009755,0.011815,0.014286,0.015989,0.017369,0.017369
closed,gpr.v.a,240,1,2,2,0.005948,0.008279,0.009330,0.012273,0.014016,0.013910,0.000000,0.000000
closed,gpr.v.a,240,2,0,0,0.006592,0.006767,0.006994,0.006586,0.004705,0.003319,0.000000,0.000000
closed,gpr.v.a,240,2,0,1,0.007150,0.008574,0.010910,0.012061,0.012897,0.013678,0.014045,0.014045
closed,gpr.v.a,240,2,0,2,0.006725,0.008335,0.009873,0.011159,0.012068,0.013470,0.014782,0.014782
closed,gpr.v.a,240,2,1,0,0.006942,0.008181,0.010268,0.011181,0.011917,0.012557,0.012795,0.012795
closed,gpr.v.a,240,2,1,1,0.009491,0.011057,0.015406,0.014495,0.009721,0.007144,0.000000,0.000000
closed,gpr.v.a,240,2,1,2,0.005479,0.007614,0.010850,0.013064,0.015481,0.017360,0.019221,0.019221
closed,gpr.v.a,240,2,2,0,0.006746,0.008403,0.009995,0.011303,0.012275,0.013677,0.015001,0.015001
