kind,model,N,fold,l.0,l.1,0,1,2,3,4,5,6,7
first_order,gpr.v.a,300,5,1,2,-0.064719,-0.051163,-0.042173,-0.030328,-0.026299,-0.015983,-0.013480,0.287114
first_order,gpr.v.a,300,5,2,0,-0.122983,-0.103553,-0.089190,-0.071158,-0.058013,-0.039685,-0.029446,-0.514470
first_order,gpr.v.a,300,5,2,1,-0.064719,-0.051163,-0.042173,-0.030328,-0.026299,-0.015983,-0.013480,0.287114
first_order,gpr.v.a,300,5,2,2,0.061496,0.054264,0.050201,0.043571,0.039868,0.033305,0.031316,1.000000
closed,gpr.v.a,240,0,0,0,0.249598,0.446535,0.615650,0.749442,0.854418,0.941596,1.000000,1.000000
closed,gpr.v.a,240,0,0,1,0.135998,0.242999,0.336757,0.408990,0.471878,0.518695,0.552736,0.552736
closed,gpr.v.a,240,0,0,2,-0.125701,-0.223592,-0.309444,-0.366956,-0.418393,-0.460259,-0.490426,-0.490426
closed,gpr.v.a,240,0,1,0,0.135998,0.242999,0.336757,0.408990,0.471878,0.518695,0.552736,0.552736
closed,gpr.v.a,240,0,1,1,0.091538,0.232306,0.412728,0.570235,0.735301,0.878803,1.000000,1.000000
closed,gpr.v.a,240,0,1,2,-0.065960,-0.101550,-0.095329,-0.046789,0.033296,0.157899,0.298833,0.298833
closed,gpr.v.a,240,0,2,0,-0.125701,-0.223592,-0.309444,-0.366956,-0.418393,-0.460259,-0.490426,-0.490426
closed,gpr.v.a,240,0,2,1,-0.065960,-0.101550,-0.095329,-0.046789,0.033296,0.157899,0.298833,0.298833
closed,gpr.v.a,240,0,2,2,0.063760,0.116866,0.184948,0.268153,0.402801,0.634855,1.000000,1.000000
closed,gpr.v.a,240,1,0,0,0.255562,0.455110,0.614563,0.745701,0.851727,0.941832,1.000000,1.000000
closed,gpr.v.a,240,1,0,1,0.138813,0.247624,0.337714,0.401051,0.459653,0.510511,0.546363,0.546363
closed,gpr.v.a,240,1,0,2,-0.122665,-0.227752,-0.314797,-0.388997,-0.444459,-0.473664,-0.503714,-0.503714
closed,gpr.v.a,240,1,1,0,0.138813,0.247624,0.337714,0.401051,0.459653,0.510511,0.546363,0.546363
closed,gpr.v.a,240,1,1,1,0.092906,0.238593,0.419371,0.571238,0.741462,0.883554,1.000000,1.000000
closed,gpr.v.a,240,1,1,2,-0.063742,-0.097563,-0.094178,-0.053284,0.031525,0.155065,0.285507,0.285507
closed,gpr.v.a,240,1,2,0,-0.122665,-0.227752,-0.314797,-0.388997,-0.444459,-0.473664,-0.503714,-0.503714
closed,gpr.v.a,240,1,2,1,-0.063742,-0.097563,-0.094178,-0.053284,0.031525,0.155065,0.285507,0.285507
closed,gpr.v.a,240,1,2,2,0.059668,0.121984,0.192175,0.287542,0.429779,0.651222,1.000000,1.000000
closed,gpr.v.a,240,2,0,0,0.241595,0.444238,0.615367,0.742816,0.855291,0.936916,1.000000,1.000000
closed,gpr.v.a,240,2,0,1,0.133607,0.239476,0.337351,0.399680,0.462816,0.507178,0.541587,0.541587
closed,gpr.v.a,240,2,0,2,-0.127355,-0.231770,-0.313458,-0.388462,-0.446692,-0.484172,-0.514687,-0.514687
closed,gpr.v.a,240,2,1,0,0.133607,0.239476,0.337351,0.399680,0.462816,0.507178,0.541587,0.541587
closed,gpr.v.a,240,2,1,1,0.095569,0.241165,0.430604,0.594906,0.763741,0.894151,1.000000,1.000000
closed,gpr.v.a,240,2,1,2,-0.068277,-0.100794,-0.094699,-0.054005,0.028986,0.144669,0.269347,0.269347
closed,gpr.v.a,240,2,2,0,-0.127355,-0.231770,-0.313458,-0.388462,-0.446692,-0.484172,-0.514687,-0.514687
closed,gpr.v.a,240,2,2,1,-0.068277,-0.100794,-0.094699,-0.054005,0.028986,0.144669,0.269347,0.269347
closed,gpr.v.a,240,2,2,2,0.068426,0.128050,0.190375,0.286736,0.429709,0.657851,1.000000,1.000000
