kind,model,N,fold,l.0,l.1,0,1,2,3,4,5,6
closed,gpr.v.a,300,5,0,2,0.000023,0.000047,0.000075,0.000094,0.000127,0.000151,0.000167
closed,gpr.v.a,300,5,1,0,0.000027,0.000060,0.000102,0.000132,0.000158,0.000181,0.000194
closed,gpr.v.a,300,5,1,1,0.000037,0.000132,0.000286,0.000411,0.000498,0.000601,0.000685
closed,gpr.v.a,300,5,1,2,0.000013,0.000036,0.000073,0.000104,0.000158,0.000207,0.000248
closed,gpr.v.a,300,5,2,0,0.000023,0.000047,0.000075,0.000094,0.000127,0.000151,0.000167
closed,gpr.v.a,300,5,2,1,0.000013,0.000036,0.000073,0.000104,0.000158,0.000207,0.000248
closed,gpr.v.a,300,5,2,2,0.000018,0.000038,0.000061,0.000108,0.000218,0.000290,0.000399
total,gpr.v.a,240,0,0,0,0.000186,0.000122,0.000080,0.000052,0.000026,0.000011,0.000000
total,gpr.v.a,240,0,0,1,0.000196,0.000126,0.000081,0.000049,0.000026,0.000011,-0.000000
total,gpr.v.a,240,0,0,2,0.000170,0.000117,0.000082,0.000056,0.000030,0.000012,0.000000
total,gpr.v.a,240,0,1,0,0.000196,0.000126,0.000081,0.000049,0.000026,0.000011,-0.000000
total,gpr.v.a,240,0,1,1,0.000577,0.000268,0.000162,0.000077,0.000039,0.000014,-0.000000
total,gpr.v.a,240,0,1,2,0.000243,0.000148,0.000098,0.000059,0.000026,0.000009,-0.000000
total,gpr.v.a,240,0,2,0,0.000170,0.000117,0.000082,0.000056,0.000030,0.000012,0.000000
total,gpr.v.a,240,0,2,1,0.000243,0.000148,0.000098,0.000059,0.000026,0.000009,-0.000000
total,gpr.v.a,240,0,2,2,0.000429,0.000333,0.000241,0.000168,0.000081,0.000029,0.000000
total,gpr.v.a,240,1,0,0,0.000185,0.000118,0.000078,0.000046,0.000021,0.000009,-0.000000
total,gpr.v.a,240,1,0,1,0.000202,0.000119,0.000078,0.000043,0.000021,0.000008,0.000000
