kind,model,N,fold,l.0,l.1,0,1,2,3,4,5,6,7
first_order,gpr.v.a,300,5,1,2,-0.066649,-0.052688,-0.043431,-0.031232,-0.027084,-0.016460,-0.013882,0.295676
first_order,gpr.v.a,300,5,2,0,-0.120351,-0.101337,-0.087281,-0.069635,-0.056772,-0.038836,-0.028816,-0.503460
first_order,gpr.v.a,300,5,2,1,-0.066649,-0.052688,-0.043431,-0.031232,-0.027084,-0.016460,-0.013882,0.295676
first_order,gpr.v.a,300,5,2,2,0.054671,0.048242,0.044629,0.038736,0.035443,0.029609,0.027841,0.889018
closed,gpr.v.a,240,0,0,0,0.251766,0.450413,0.620997,0.755952,0.861839,0.949775,1.008686,1.008686
closed,gpr.v.a,240,0,0,1,0.147296,0.263186,0.364733,0.442966,0.511078,0.561785,0.598655,0.598655
closed,gpr.v.a,240,0,0,2,-0.116137,-0.206580,-0.285900,-0.339036,-0.386560,-0.425240,-0.453112,-0.453112
closed,gpr.v.a,240,0,1,0,0.147296,0.263186,0.364733,0.442966,0.511078,0.561785,0.598655,0.598655
closed,gpr.v.a,240,0,1,1,0.106454,0.270159,0.479982,0.663154,0.855118,1.022002,1.162949,1.162949
closed,gpr.v.a,240,0,1,2,-0.065436,-0.100742,-0.094571,-0.046417,0.033032,0.156644,0.296458,0.296458
closed,gpr.v.a,240,0,2,0,-0.116137,-0.206580,-0.285900,-0.339036,-0.386560,-0.425240,-0.453112,-0.453112
closed,gpr.v.a,240,0,2,1,-0.065436,-0.100742,-0.094571,-0.046417,0.033032,0.156644,0.296458,0.296458
closed,gpr.v.a,240,0,2,2,0.053958,0.098900,0.156516,0.226930,0.340878,0.537258,0.846268,0.846268
closed,gpr.v.a,240,1,0,0,0.268192,0.477602,0.644936,0.782555,0.893821,0.988379,1.049422,1.049422
closed,gpr.v.a,240,1,0,1,0.155852,0.278018,0.379166,0.450277,0.516072,0.573173,0.613426,0.613426
closed,gpr.v.a,240,1,0,2,-0.110584,-0.205321,-0.283793,-0.350685,-0.400684,-0.427013,-0.454104,-0.454104
closed,gpr.v.a,240,1,1,0,0.155852,0.278018,0.379166,0.450277,0.516072,0.573173,0.613426,0.613426
closed,gpr.v.a,240,1,1,1,0.111598,0.286595,0.503743,0.686163,0.890634,1.061313,1.201187,1.201187
closed,gpr.v.a,240,1,1,2,-0.061479,-0.094099,-0.090834,-0.051392,0.030406,0.149559,0.275371,0.275371
closed,gpr.v.a,240,1,2,0,-0.110584,-0.205321,-0.283793,-0.350685,-0.400684,-0.427013,-0.454104,-0.454104
closed,gpr.v.a,240,1,2,1,-0.061479,-0.094099,-0.090834,-0.051392,0.030406,0.149559,0.275371,0.275371
