,Input,Input,Input,Input,Input,Output
,Flue gas (kg/s),CO2 in flue gas (wt%),Solvent rate (kg/s),Solvent concentration (wt%),Lean loading (mol CO2/mol MEA),Rich Loading (mol CO2/mol MEA)
0,400.0,6.93,885.2,30,0.28,0.421414765
1,444.44444400000003,6.93,885.2,30,0.28,0.436598531
2,488.88888899999995,6.93,885.2,30,0.28,0.451588069
3,488.88888899999995,6.93,885.2,30,0.28,0.451588156
4,533.333333,6.93,885.2,30,0.28,0.466120789
5,577.777778,6.93,885.2,30,0.28,0.479251535
6,622.222222,6.93,885.2,30,0.28,0.488196855
7,666.666667,6.93,885.2,30,0.28,0.492078833
8,711.111111,6.93,885.2,30,0.28,0.49370991
9,755.5555559999999,6.93,885.2,30,0.28,0.49459398299999996
10,800.0,6.93,885.2,30,0.28,0.49524035299999997
11,660.54,3.7417800000000003,885.2,30,0.28,0.40472959999999997
12,660.54,4.35553,885.2,30,0.28,0.4249559
13,660.54,4.96652,885.2,30,0.28,0.44482479999999996
14,660.54,5.5747599999999995,885.2,30,0.28,0.4639246
15,660.54,6.18026,885.2,30,0.28,0.48047290000000004
16,660.54,6.78305,885.2,30,0.28,0.4902858
17,660.54,7.383139999999999,885.2,30,0.28,0.495012
18,660.54,7.9805600000000005,885.2,30,0.28,0.4980151
19,660.54,8.57532,885.2,30,0.28,0.5003337
20,660.54,9.16743,885.2,30,0.28,0.5022951
21,660.54,6.93,600.0,30,0.28,0.49696384
22,660.54,6.93,644.4444440000001,30,0.28,0.496529709
23,660.54,6.93,688.888889,30,0.28,0.49610202299999995
24,660.54,6.93,733.333333,30,0.28,0.49562336100000004
25,660.54,6.93,777.777778,30,0.28,0.495004601
26,660.54,6.93,822.222222,30,0.28,0.49409536
27,660.54,6.93,866.666667,30,0.28,0.492621669
28,660.54,6.93,885.200157,30,0.28,0.49173272700000004
29,660.54,6.93,911.1111109999999,30,0.28,0.490090245
30,660.54,6.93,955.555556,30,0.28,0.485853441
31,660.54,6.93,1000.0,30,0.28,0.479869948
32,660.54,6.93,885.2,12,0.28,0.5033991
33,660.54,6.93,885.2,15,0.28,0.5011337
34,660.54,6.93,885.2,18,0.28,0.4994728
35,660.54,6.93,885.2,21,0.28,0.4980419
36,660.54,6.93,885.2,24,0.28,0.4965773
37,660.54,6.93,885.2,27,0.28,0.4947515
38,660.54,6.93,885.2,30,0.28,0.4917327
39,660.54,6.93,885.2,33,0.28,0.4845170999999999
40,660.54,6.93,885.2,36,0.28,0.4714527
41,660.54,6.93,885.2,39,0.28,0.4579643
42,660.54,6.93,885.2,30,0.23,0.4619347
43,660.54,6.93,885.2,30,0.24,0.4707946
44,660.54,6.93,885.2,30,0.25,0.47880209999999995
45,660.54,6.93,885.2,30,0.26,0.4851469
46,660.54,6.93,885.2,30,0.27,0.48928879999999997
47,660.54,6.93,885.2,30,0.28,0.4917327
48,660.54,6.93,885.2,30,0.29,0.4932264
49,660.54,6.93,885.2,30,0.3,0.494209
50,660.54,6.93,885.2,30,0.31,0.4948973
51,660.54,6.93,885.2,30,0.32,0.4954022
