,Split,Fold,0
0,0,0,-119.50614971552484
1,1,0,-171.62531855471576
2,2,0,-78.90885564176807
3,3,0,-144.7787539172115
4,4,0,-93.60291684954599
5,5,0,-136.22552277700132
6,6,0,-84.44912735987883
7,7,0,-63.966337013885706
