,Split,Fold,0
0,0,0,4.055570070035746
1,1,0,2774.596925867505
2,2,0,5.000207837753213
3,3,0,2.99105780999866
4,4,0,6.255003919825673
5,5,0,3.2183330961365697
6,6,0,1.1876497288009749
7,7,0,4.583712072854153
