l.0,l.1,0,1,2,3,4,5,6
0,0,0.000060,0.000094,0.000127,0.000169,0.000214,0.000229,0.000250
0,1,0.000062,0.000104,0.000152,0.000214,0.000255,0.000287,0.000311
0,2,0.000044,0.000074,0.000099,0.000133,0.000182,0.000214,0.000246
1,0,0.000062,0.000104,0.000152,0.000214,0.000255,0.000287,0.000311
1,1,0.000064,0.000195,0.000396,0.000696,0.000785,0.000928,0.001068
1,2,0.000024,0.000056,0.000094,0.000162,0.000234,0.000307,0.000373
2,0,0.000044,0.000074,0.000099,0.000133,0.000182,0.000214,0.000246
2,1,0.000024,0.000056,0.000094,0.000162,0.000234,0.000307,0.000373
2,2,0.000037,0.000067,0.000090,0.000149,0.000312,0.000454,0.000704
