,Split,Fold,0,1,2,3,4
0,0,0,0.997637170717166,0.9998778455358656,1.0,1.0,1.0
1,1,0,0.9999999999999996,0.9999999999999998,1.0,1.0,1.0
2,2,0,0.8493287445491071,0.9425565880996748,0.94294110380006,0.9999999779433281,1.0
3,3,0,0.9958494741166388,0.996241667832883,0.9999900993951559,0.9999901221926656,1.0
4,4,0,0.9805862648619008,0.9989035975257492,0.999999999946236,0.999999999946236,1.0
5,5,0,0.9996848837357594,0.9999999999999996,0.9999999999999996,1.0,1.0
6,6,0,0.9816410516539124,0.9951541692634688,0.9999999999999996,1.0,1.0
7,7,0,0.8942340671094131,0.9056521345292524,0.938581688088544,1.0,1.0
